year,title,authors,decision,confidence,matched_terms,url
2025,Interpretable Causal Representation Learning for Biological Data in the Pathway Space,"Jesus de la Fuente Cedeño, Robert Lehmann, Carlos Ruiz-Arenas, Jan Voges, Irene Marín-Goñi, Xabier Martinez de Morentin, David Gomez-Cabrero, Idoia Ochoa, Jesper Tegnér, Vincenzo Lagani, Mikel Hernaez",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=3Fgylj4uqL
2025,Separation Power of Equivariant Neural Networks,"Marco Pacini, Xiaowen Dong, Bruno Lepri, Gabriele Santin",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=RAyRXQjsFl
2025,The OMG dataset: An Open MetaGenomic corpus for mixed-modality genomic language modeling,"Andre Cornman, Jacob West-Roberts, Antonio Pedro Camargo, Simon Roux, Martin Beracochea, Milot Mirdita, Sergey Ovchinnikov, Yunha Hwang",ICLR 2025 Poster,high,genom,https://openreview.net/forum?id=jlzNb1iWs3
2025,Cached Multi-Lora Composition for Multi-Concept Image Generation,"Xiandong Zou, Mingzhu Shen, Christos-Savvas Bouganis, Yiren Zhao",ICLR 2025 Poster,high,sequencing,https://openreview.net/forum?id=4iFSBgxvIO
2025,Equivariant Denoisers Cannot Copy Graphs: Align Your Graph Diffusion Models,"Najwa Laabid, Severi Rissanen, Markus Heinonen, Arno Solin, Vikas Garg",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=onIro14tHv
2025,The KoLMogorov Test: Compression by Code Generation,"Ori Yoran, Kunhao Zheng, Fabian Gloeckle, Jonas Gehring, Gabriel Synnaeve, Taco Cohen",ICLR 2025 Poster,low,DNA,https://openreview.net/forum?id=C45YqeBDUM
2025,"Bio-xLSTM: Generative modeling, representation and in-context learning of biological and chemical sequences","Niklas Schmidinger, Lisa Schneckenreiter, Philipp Seidl, Johannes Schimunek, Pieter-Jan Hoedt, Johannes Brandstetter, Andreas Mayr, Sohvi Luukkonen, Sepp Hochreiter, Günter Klambauer",ICLR 2025 Poster,high,DNA; genom,https://openreview.net/forum?id=IjbXZdugdj
2025,Rethinking Invariance in In-context Learning,"Lizhe Fang, Yifei Wang, Khashayar Gatmiry, Lei Fang, Yisen Wang",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=q1UyoY3MgJ
2025,Generating  Graphs  via Spectral Diffusion,"Giorgia Minello, Alessandro Bicciato, Luca Rossi, Andrea Torsello, Luca Cosmo",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=AAXBfJNHDt
2025,gRNAde: Geometric Deep Learning for 3D RNA inverse design,"Chaitanya K. Joshi, Arian Rokkum Jamasb, Ramon Viñas Torné, Charles Harris, Simon V Mathis, Alex Morehead, Rishabh Anand, Pietro Lio",ICLR 2025 Spotlight,high,RNA-seq; mutation,https://openreview.net/forum?id=lvw3UgeVxS
2025,A Simple yet Effective $\Delta\Delta G$ Predictor is An Unsupervised Antibody Optimizer and Explainer,"Lirong Wu, Yunfan Liu, Haitao Lin, Yufei Huang, Guojiang Zhao, Zhifeng Gao, Stan Z. Li",ICLR 2025 Poster,low,mutation,https://openreview.net/forum?id=IxmWIkcKs5
2025,Steering Protein Family Design through Profile Bayesian Flow,"Jingjing Gong, Yu Pei, Siyu Long, Yuxuan Song, Zhe Zhang, Wenhao Huang, Ziyao Cao, Shuyi Zhang, Hao Zhou, Wei-Ying Ma",ICLR 2025 Oral,low,mutation,https://openreview.net/forum?id=PSiijdQjNU
2025,Tree-Wasserstein Distance for High Dimensional Data with a Latent Feature Hierarchy,"Ya-Wei Eileen Lin, Ronald R. Coifman, Gal Mishne, Ronen Talmon",ICLR 2025 Poster,high,RNA-seq; sequencing; single-cell,https://openreview.net/forum?id=nYjAzwor9R
